smiles,avg_confidence,uncertain_predictions,flag,tox_ahr_conf,tox_ar_conf,tox_are_conf,tox_aromatase_conf,tox_ar_lbd_conf,tox_atad5_conf,tox_er_conf,tox_er_lbd_conf,tox_hse_conf,tox_mmp_conf,tox_p53_conf,tox_ppar_gamma_conf,sol_esol_conf,act_prothrombin_conf,act_cannabinoid_receptor_1_conf,act_voltage_gated_conf
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]3C[C@@H](O)CC(=O)O3)OC(=O)[C@@H](C)CC,0.060249012873289105,16,Uncertain,0.03603149950504303,0.07700245082378376,0.09674753248691537,0.028500914573669434,0.05364665016531944,0.0026557676028460264,0.1504697799682616,0.0662756711244582,0.044966571033000835,0.04808126762509335,0.008614148013293632,0.009243593551218399,0.2993496894836426,0.00445092050358642,0.03794770315289475,4.6359598826484216e-08
COC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC=C2[N+]([O-])=O)C(=O)OC,0.05810079212756697,16,Uncertain,0.07607819139957417,0.042772889137267955,0.10904209315776825,0.02563052810728539,0.02760258875787236,0.0027141564060001455,0.1411338597536086,0.03930028900504101,0.04382002726197243,0.07234288007020939,0.009558147750794777,0.01422666385769844,0.31827292442321775,2.1180262592679355e-06,0.0067944321781395756,0.00032088474836200476
CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,0.05541428314414665,16,Uncertain,0.10229954868555058,0.030136693269014247,0.111866995692253,0.023845206946134345,0.019551331177353748,0.0026146923191844307,0.13528048992156982,0.030876418575644382,0.040918365120887645,0.09533648937940575,0.0105845145881176,0.017467973753809818,0.2623652458190918,1.0376805903433706e-06,0.0034769605845211826,6.566793217643863e-06
[Na+].CCCCCCCCCC(CC)C1=CC=C(C=C1)S([O-])(=O)=O,0.018709177642522952,16,Uncertain,0.0320729799568652,0.014597772620618232,0.07597940415143956,0.007658136077225208,0.005970370490103849,0.0006522413459606469,0.09384302794933297,0.01350929494947184,0.0210976731032132,0.02383507601916779,0.0023310421966016293,0.0038146544247863456,0.0,1.1765033391952784e-12,0.0023579357657580458,0.0016272332286462188
CC(C)(C)C1=CC(O)=CC=C1O,0.09968197391738753,16,Uncertain,0.1331948935985564,0.05581916868686665,0.131108596920967,0.04240258038043965,0.04522973299026478,0.005438923370092996,0.1706322133541106,0.05968063697218884,0.05864575505256642,0.15800817310810078,0.02231488376855839,0.03171037510037422,0.6710962295532227,0.0034111689310519777,0.0062179723754524074,2.785153867534973e-07
C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34,0.1406968699671557,16,Uncertain,0.41082435846328713,0.05571882426738717,0.19508059322834004,0.0775001123547554,0.05577222630381584,0.01456079538911581,0.22721409797668435,0.07664647698402405,0.09389187395572662,0.4516980946063994,0.07173142582178105,0.11638130247592926,0.0,5.904534639000758e-10,0.39513397216796853,0.008995764888823032
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,0.1504524256759097,15,Uncertain,0.1886044293642044,0.005887094419449346,0.3409772217273712,0.031919531524181144,0.0025206028949468218,0.024395769461989403,0.20995700359344482,0.03809757530689217,0.08635643869638443,0.16629597544670105,0.08297818899154663,0.06849312782287575,0.22132816314697268,0.9377387762069702,0.0016881623305380344,7.498800869143452e-07
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H],0.07663747872861673,16,Uncertain,0.1082623228430748,0.12357552349567402,0.15204812586307526,0.06443518400192261,0.11759018152952183,0.010076045989990234,0.21281211078166962,0.1222422868013382,0.07144858688116063,0.1552910655736922,0.03318800404667843,0.03699183464050282,0.017758655548095748,0.00038682814920321107,5.484632492880337e-05,3.8057187339290977e-05
CCCCCCC1=C(O)C=C(O)C=C1,0.06303007343185518,16,Uncertain,0.07312386482954025,0.037534061819314846,0.09195012599229802,0.024266134947538154,0.024410031735896953,0.002091165166348219,0.13067705929279316,0.03667512908577897,0.04325436055660237,0.08020398765802383,0.009235528297722229,0.012983635999262222,0.42585029602050783,1.1279720638412982e-05,0.01602620817720879,0.00018830561020877212
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,0.06778677477454939,16,Uncertain,0.13288483023643483,0.058644205331802146,0.13024072349071503,0.04280230030417442,0.0470643676817416,0.005469187628477812,0.17252494394779205,0.061341457068920024,0.05993353947997082,0.15143139660358418,0.02186688780784596,0.030793135985731968,0.12130384445190412,3.466087582637556e-05,0.041277315467596054,0.006975600030272977
