smiles,tox_ahr,esol,chembl_target1
O,0.007159717381000519,0.1929868459701538,0.5145227313041687
CCO,0.0036352111492305994,0.6328372359275818,1.188718898574023e-19
CC(=O)O,0.010705285705626011,0.5727312564849854,2.3017018846438475e-11
c1ccccc1,0.1287398785352707,-1.0877116918563843,1.0725479393514092e-09
CC(=O)Nc1ccc(O)cc1,0.07094468176364899,-1.0338521003723145,0.0003087449003942311
CN1CCC[C@H]1c1cccnc1,0.048272281885147095,-1.8499730825424194,3.295849455753341e-05
CC(=O)Oc1ccccc1C(=O)O,0.054092831909656525,-2.1558470726013184,0.0013641599798575044
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0.017109494656324387,0.6156628131866455,0.004619601182639599
Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.06536239385604858,-1.6379876136779785,1.8388498119747965e-06
CC(C)Cc1ccc(cc1)C(C)C(=O)O,0.02537105791270733,-4.312941074371338,7.442339847330004e-05
