smiles,tox_ahr,tox_ar,tox_are,tox_aromatase,tox_ar_lbd,tox_atad5,tox_er,tox_er_lbd,tox_hse,tox_mmp,tox_p53,tox_ppar_gamma,sol_esol,act_prothrombin,act_cannabinoid_receptor_1,act_voltage_gated,is_drug_like,mol_weight,logp,h_donors,h_acceptors
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,0.027476424351334572,0.03937108814716339,0.058640006929636,0.01713220216333866,0.029941117390990257,0.0020396264735609293,0.0821806862950325,0.03597526624798775,0.02450205571949482,0.03535253182053566,0.006314900703728199,0.007530601229518652,-0.7608011364936829,0.015633217990398407,6.4106271402408765e-09,7.477439339709235e-06,No,457.4320000000001,-3.1080199999999985,7,12
Cc1occc1C(=O)Nc2ccccc2,0.09531287848949432,0.02308005839586258,0.06755656003952026,0.02090357430279255,0.01855017989873886,0.0028378977440297604,0.0818086639046669,0.02435150183737278,0.028668366372585297,0.09666559100151062,0.011727572418749332,0.01953461766242981,-2.2268943786621094,1.4687696420878638e-05,0.0174703486263752,8.621027518529445e-05,Yes,201.22500000000002,2.840320000000001,1,2
CC(C)=CCCC(C)=CC(=O),0.010870713740587234,0.01695427857339382,0.034280866384506226,0.006417808122932911,0.007997279986739159,0.0004124993283767253,0.052751559764146805,0.013125278986990452,0.015390345826745033,0.010666892863810062,0.0013728301273658872,0.001755506731569767,-3.2569031715393066,1.2411481618932602e-13,0.07036010921001434,6.6009311012749095e-06,Yes,152.237,2.878000000000001,0,1
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,0.2038404792547226,0.027714591473340988,0.09702398627996445,0.03842456266283989,0.027732351794838905,0.0071735018864274025,0.11314841359853745,0.03804543986916542,0.04663264751434326,0.22452640533447266,0.03539683297276497,0.057540375739336014,-7.293697357177734,4.587256796639849e-09,0.020053118467330933,0.0316026397049427,No,278.354,6.299400000000004,0,0
c1ccsc1,0.1054147407412529,0.008172416128218174,0.0797630175948143,0.01563073880970478,0.005414459388703108,0.002994203707203269,0.07613592594861984,0.01597106270492077,0.028718573972582817,0.09957823902368546,0.01290836464613676,0.021659571677446365,-0.456076979637146,0.00018882447329815477,0.012439082376658916,0.00825907476246357,Yes,84.14299999999999,1.7480999999999998,0,1
c2ccc1scnc1c2 ,0.1675085574388504,0.014488518238067627,0.09624926000833511,0.02670803666114807,0.012232399545609951,0.005427342373877764,0.0970345064997673,0.025655053555965424,0.03909512609243393,0.1746547371149063,0.0260238628834486,0.04303337633609772,-2.425088405609131,0.0009336589137092233,0.0003205814864486456,0.0030589012894779444,Yes,135.191,2.2962999999999996,0,2
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,0.1622387021780014,0.010771160945296288,0.11502473801374435,0.025867924094200134,0.00830604787915945,0.007182568311691284,0.09996682405471802,0.025131788104772568,0.04117938131093979,0.1641104817390442,0.030204864218831062,0.04648579657077789,-7.173285484313965,1.7408429502075405e-14,0.6703448295593262,2.1906700897744713e-09,No,326.437,6.620600000000001,0,0
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,0.04919387772679329,0.058150067925453186,0.07123403251171112,0.029780883342027664,0.05449127405881882,0.004301178734749556,0.10214954614639282,0.05784503370523453,0.03407519310712814,0.07204234600067139,0.014774339273571968,0.016269240528345108,-4.34370756149292,6.094931563893624e-07,0.00018756013014353812,9.797357051866129e-05,Yes,272.388,3.6092000000000026,2,2
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,0.03735147416591644,0.042243923991918564,0.09960920363664627,0.026508329436182976,0.034183207899332047,0.007315413095057011,0.1101100742816925,0.06066275015473366,0.03237433731555939,0.050752341747283936,0.01588476076722145,0.01601272262632847,-7.784931659698486,6.134129080237471e-07,5.848702130606398e-06,0.0005942105781286955,Yes,380.913,4.481400000000002,0,1
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,0.05101232975721359,0.0334121398627758,0.06069156900048256,0.019864581525325775,0.025746794417500496,0.0023622966837137938,0.08164521306753159,0.031040215864777565,0.027614383026957512,0.05637756362557411,0.008620844222605228,0.011553906835615635,-4.383109092712402,1.2903580682177562e-05,6.064440822228789e-05,0.00022100067872088403,Yes,394.42300000000023,3.7033000000000023,0,6
